iter	Logloss
0	0.6827459227
1	0.6761362115
2	0.6719280152
3	0.6669479112
4	0.6643148119
5	0.6607863122
6	0.6575587816
7	0.6564172422
8	0.6536757509
9	0.6516145385
10	0.6502352514
11	0.649304435
12	0.6477682668
13	0.6472409459
14	0.6465645432
15	0.6460875719
16	0.6440838205
17	0.6429516582
18	0.6420978225
19	0.6416683931
20	0.6413092232
21	0.6407792414
22	0.6396358022
23	0.6393653517
24	0.6385812634
25	0.6382548697
26	0.6380355432
27	0.6378153253
28	0.6375622743
29	0.6367820112
30	0.6361130772
31	0.6358982017
32	0.6354318112
33	0.6352086177
34	0.6348788759
35	0.6342098993
36	0.6339620242
37	0.6338458416
38	0.6337322374
39	0.6331398541
40	0.6329898157
41	0.6327929342
42	0.6322869536
43	0.632174667
44	0.6317628972
45	0.6315138564
46	0.6312857094
47	0.631057899
48	0.6309699371
49	0.6307865287
50	0.6306441771
51	0.6305585974
52	0.6304092884
53	0.6300601662
54	0.6297181494
55	0.6294748318
56	0.6292235469
57	0.6291693165
58	0.6290793989
59	0.6288692465
60	0.6286690898
61	0.6285560559
62	0.6284584707
63	0.6283962212
64	0.6282753755
65	0.6281564518
66	0.6279186673
67	0.6278407869
68	0.6277479947
69	0.6275923711
70	0.6274664057
71	0.627309141
72	0.6272147218
73	0.6271361314
74	0.6270148453
75	0.62694115
76	0.6268754595
77	0.6267926737
78	0.6266880171
79	0.6266100893
80	0.6264976895
81	0.6263432455
82	0.6262121098
83	0.6261760818
84	0.6260607638
85	0.6259705216
86	0.6258804657
87	0.6257841651
88	0.6256039974
89	0.6255169795
90	0.6254699528
91	0.6253920526
92	0.6253342972
93	0.6252891925
94	0.6251822634
95	0.6251417456
96	0.6250346106
97	0.6249814214
98	0.624845751
99	0.6247218959
100	0.6246320227
101	0.6245230268
102	0.6244689208
103	0.6244236963
104	0.6243849643
105	0.6243310228
106	0.6242728009
107	0.624231786
108	0.6241034819
109	0.6240370263
110	0.6239924125
111	0.6239521614
112	0.6238935633
113	0.6238846131
114	0.623801904
115	0.6237289178
116	0.6236680055
117	0.623612129
118	0.6235897006
119	0.6235774207
120	0.6235018441
121	0.6234835957
122	0.6234433334
123	0.623376454
124	0.6233430977
125	0.6232725032
126	0.6232146909
127	0.6232032365
128	0.6231606776
129	0.6230977275
130	0.623028918
131	0.6229586437
132	0.6228666641
133	0.6228032899
134	0.6227331948
135	0.6226732367
136	0.6226293365
137	0.6225283431
138	0.6225132922
139	0.6224949161
140	0.622481204
141	0.6224243458
142	0.6223695878
143	0.6223441781
144	0.6223141331
145	0.6222844987
146	0.6222670311
147	0.6222340136
148	0.6221989061
149	0.6221531709
150	0.6221121876
151	0.6220636167
152	0.6220308176
153	0.6219995337
154	0.6219767774
155	0.6219024604
156	0.6218872513
157	0.6218580426
158	0.6218201304
159	0.6217731475
160	0.6217342204
161	0.6217113918
162	0.621701323
163	0.6216603676
164	0.6216537906
165	0.6216288685
166	0.6215954181
167	0.6215664284
168	0.621543426
169	0.6215340276
170	0.6214826787
171	0.6214648407
172	0.6214542398
173	0.6214188118
174	0.6213708265
175	0.6213401978
176	0.6212985609
177	0.6212309083
178	0.6211825206
179	0.6211262848
180	0.6211075554
181	0.6210577635
182	0.6210143629
183	0.6209990579
184	0.620956426
185	0.6209384728
186	0.620917803
187	0.6208823557
188	0.6208602938
189	0.6208476448
190	0.620825815
191	0.6208178494
192	0.6207634347
193	0.6207462277
194	0.6207347771
195	0.6207199239
196	0.6207101816
197	0.6206894175
198	0.6206398498
199	0.6205979547
200	0.6205322517
201	0.6204966054
202	0.6204372551
203	0.6203765042
204	0.6203365313
205	0.6203164408
206	0.6202994324
207	0.6202888626
208	0.6202771339
209	0.620256816
210	0.6202348481
211	0.620225517
212	0.6201680996
213	0.6201448754
214	0.6201314861
215	0.620110451
216	0.6200811611
217	0.6200511148
218	0.6200432743
219	0.6199851151
220	0.6199474514
221	0.6199334567
222	0.619898792
223	0.6198866799
224	0.6198784012
225	0.6198303963
226	0.6198147905
227	0.6197638668
228	0.619746694
229	0.6196812758
230	0.6196412189
231	0.6196199273
232	0.6196108539
233	0.6195981794
234	0.6195803684
235	0.619546098
236	0.6195208856
237	0.6195050058
238	0.6194949334
239	0.6194308612
240	0.6193990702
241	0.6193858462
