iter	Passed	Remaining
0	666	332415
1	1402	349218
2	1995	330607
3	2639	327348
4	3266	323408
5	4167	343139
6	5047	355507
7	5699	350516
8	6568	358327
9	7343	359812
10	8115	360753
11	8623	350698
12	9505	356084
13	10044	348688
14	10562	341509
15	11110	336084
16	11973	340177
17	12791	342528
18	13617	344749
19	14245	341883
20	14922	340368
21	15489	336552
22	16369	339479
23	17013	337430
24	17885	339832
25	18445	336275
26	19058	333881
27	19681	331766
28	20266	329150
29	21275	333318
30	22175	335487
31	22861	334351
32	23678	335089
33	24239	332225
34	24835	329951
35	25896	333776
36	26580	332615
37	27148	330064
38	27719	327663
39	28396	326559
40	28919	323755
41	29559	322335
42	30374	322819
43	30860	319821
44	31727	320797
45	32752	323250
46	33415	322070
47	34341	323379
48	34855	320814
49	35632	320696
50	36382	320309
51	36951	318353
52	37723	318155
53	38559	318473
54	39280	317813
55	40432	320571
56	41076	319243
57	41730	318016
58	42379	316766
59	43206	316851
60	44029	316867
61	44588	314994
62	45350	314571
63	45976	313217
64	46756	312907
65	47493	312306
66	48179	311369
67	48786	309937
68	49288	307872
69	50055	307481
70	50907	307596
71	51936	308735
72	52661	308033
73	53351	307134
74	53882	305335
75	54669	304999
76	55163	303042
77	55710	301410
78	56411	300623
79	56908	298771
80	57336	296590
81	58124	296291
82	58753	295184
83	59266	293509
84	60369	294747
85	60949	293407
86	61760	293183
87	62378	292045
88	63129	291528
89	63988	291504
90	64730	290931
91	65588	290872
92	66092	289241
93	66770	288392
94	67643	288375
95	68379	287761
96	69169	287374
97	69872	286621
98	70699	286369
99	71427	285709
100	71927	284147
101	72676	283579
102	73444	283082
103	74106	282176
104	74640	280791
105	75421	280338
106	76060	279362
107	76851	278941
108	77662	278588
109	78405	277983
110	78960	276715
111	79588	275718
112	80168	274559
113	80735	273368
114	82011	274559
115	82540	273238
116	83291	272654
117	83830	271382
118	84550	270703
119	85089	269449
120	85922	269129
121	86589	268284
122	87221	267336
123	88022	266906
124	88581	265745
125	89432	265459
126	90095	264610
127	90665	263495
128	91330	262662
129	92422	263047
130	93166	262431
131	93956	261940
132	94938	261973
133	95618	261166
134	96310	260395
135	97053	259760
136	97791	259111
137	98441	258229
138	99012	257147
139	99544	255972
140	100112	254895
141	100681	253830
142	101580	253596
143	102315	252946
144	102951	252054
145	103779	251630
146	104284	250424
147	104879	249442
148	105544	248631
149	106149	247681
150	106775	246785
151	107506	246134
152	108290	245599
153	109062	245037
154	109697	244164
155	110419	243490
156	111077	242671
157	111791	241978
158	112361	240976
159	112919	239953
160	113478	238940
161	114149	238163
162	114692	237124
163	115301	236227
164	115879	235270
165	116590	234586
166	117390	234078
167	118077	233344
168	118734	232551
169	119488	231949
170	120061	230995
171	120592	229966
172	121137	228970
173	121834	228264
174	122536	227567
175	123199	226799
176	123901	226102
177	124444	225119
178	125354	224798
179	126031	224055
180	126820	223512
181	127447	222682
182	128168	222019
183	128748	221112
184	129402	220334
185	129937	219356
186	130877	219062
187	131720	218600
188	132583	218166
189	133325	217530
190	133968	216733
191	134597	215916
192	135456	215466
193	136197	214826
194	136954	214211
195	137691	213562
196	138342	212780
197	139011	212027
198	140141	211972
199	141268	211903
200	141899	211083
201	142517	210248
202	142993	209207
203	143964	208889
204	144609	208096
205	145325	207405
206	145846	206440
207	146371	205482
208	146896	204530
209	147494	203682
210	148313	203139
211	148908	202291
212	150163	202332
213	150773	201500
214	151359	200638
215	152226	200149
216	152824	199305
217	153498	198562
218	154265	197939
219	154801	197019
220	155531	196349
221	156096	195472
222	157138	195190
223	157806	194439
224	158377	193572
225	158990	192758
226	159561	191895
227	160414	191371
228	161110	190658
229	162040	190220
230	162703	189468
231	163390	188743
232	164029	187965
233	164911	187463
234	165520	186650
235	166315	186048
236	166828	185130
237	167414	184296
238	167989	183453
239	168640	182693
240	169294	181938
241	169917	181151
242	170558	180385
243	171204	179623
244	171981	179000
245	172700	178317
246	173518	177733
247	174129	176938
248	175249	176656
249	175871	175871
250	176530	175123
251	177082	174271
252	177543	173332
253	178259	172645
254	178753	171743
255	179443	171032
256	180348	170524
257	181132	169899
258	181741	169111
259	182532	168491
260	183196	167754
261	183771	166937
262	184700	166440
263	185194	165552
264	185852	164812
265	186438	164010
266	187052	163233
267	187676	162466
268	188279	161682
269	189045	161038
270	189683	160286
271	190398	159598
272	191029	158841
273	191648	158074
274	192266	157309
275	192815	156488
276	193393	155691
277	194063	154971
278	194743	154259
279	195321	153466
280	195937	152705
281	196563	151953
282	197118	151147
283	197692	150357
284	198619	149835
285	199361	149172
286	200032	148455
287	200816	147822
288	201470	147094
289	201950	146240
290	202752	145619
291	203481	144945
292	204231	144286
293	204886	143560
294	205426	142753
295	206113	142051
296	206724	141296
297	207315	140529
298	207895	139755
299	208515	139010
300	209340	138401
301	209855	137587
302	210442	136822
303	211053	136073
304	211742	135376
305	212428	134676
306	213374	134141
307	214310	133596
308	214991	132891
309	215708	132208
310	216303	131451
311	216859	130671
312	217408	129889
313	218214	129260
314	218797	128499
315	219436	127772
316	220126	127075
317	220666	126293
318	221331	125582
319	221898	124818
320	222370	124001
321	223219	123394
322	223780	122628
323	224288	121835
324	225037	121173
325	225727	120480
326	226506	119833
327	227283	119185
328	228101	118557
329	228944	117940
330	229561	117208
331	230397	116586
332	231010	115852
333	231563	115088
334	232167	114351
335	232751	113605
336	233351	112867
337	233951	112130
338	234943	111581
339	235790	110960
340	236506	110277
341	237094	109534
342	237694	108799
343	238295	108064
344	238887	107326
345	239656	106667
346	240345	105973
347	240988	105259
348	241594	104529
349	242256	103824
350	242937	103127
351	243522	102390
352	244264	101719
353	244817	100969
354	245452	100255
355	246233	99600
356	246987	98933
357	247848	98308
358	248667	97665
359	249503	97029
360	250104	96300
361	250914	95652
362	251824	95041
363	252484	94334
364	253106	93614
365	253721	92892
366	254285	92152
367	255016	91473
368	255510	90709
369	256009	89949
370	256584	89216
371	257352	88551
372	258116	87884
373	258693	87153
374	259345	86448
375	259942	85725
376	260714	85060
377	261395	84365
378	261975	83638
379	262691	82955
380	263321	82244
381	264411	81676
382	265029	80962
383	265613	80237
384	266375	79566
385	267067	78874
386	267915	78228
387	268637	77544
388	269199	76815
389	269922	76132
390	270514	75412
391	271158	74706
392	272043	74067
393	272713	73369
394	273290	72646
395	273849	71920
396	274520	71223
397	275089	70500
398	275947	69851
399	276715	69178
400	277344	68471
401	277924	67752
402	278415	67013
403	279043	66307
404	279510	65564
405	280152	64862
406	280834	64170
407	281498	63475
408	282089	62763
409	282721	62060
410	283314	61350
411	284097	60681
412	284791	59992
413	285360	59277
414	286180	58615
415	286879	57927
416	287469	57218
417	288116	56520
418	288955	55860
419	289594	55160
420	290252	54465
421	290971	53781
422	291597	53080
423	292153	52367
424	292818	51673
425	293589	50999
426	294171	50291
427	294753	49584
428	295482	48902
429	296049	48194
430	296691	47498
431	297260	46790
432	297836	46085
433	298618	45412
434	299249	44715
435	299879	44019
436	300680	43347
437	301463	42672
438	302075	41974
439	302633	41268
440	303430	40594
441	304061	39899
442	304702	39205
443	305380	38516
444	306292	37856
445	306838	37150
446	307421	36450
447	308058	35756
448	308663	35059
449	309292	34365
450	310091	33690
451	310665	32990
452	311226	32290
453	312102	31622
454	312716	30928
455	313375	30237
456	313919	29537
457	314557	28845
458	315285	28162
459	316021	27480
460	316554	26780
461	317224	26092
462	317892	25403
463	318419	24704
464	319139	24021
465	319635	23321
466	320209	22627
467	320785	21934
468	321419	21245
469	322041	20555
470	322596	19862
471	323372	19183
472	324313	18512
473	324890	17821
474	325429	17127
475	326271	16450
476	327038	15769
477	327698	15082
478	328235	14390
479	328776	13699
480	329438	13013
481	330011	12324
482	330915	11647
483	331481	10958
484	332140	10272
485	332964	9591
486	333699	8907
487	334289	8220
488	334874	7532
489	335737	6851
490	336416	6166
491	337100	5481
492	337979	4798
493	338797	4114
494	339411	3428
495	340106	2742
496	340900	2057
497	341508	1371
498	342279	685
499	342861	0
